iter	RMSE
0	14.55578856
1	14.14470577
2	13.70412152
3	13.26922044
4	12.88933415
5	12.52942254
6	12.17204012
7	11.88938972
8	11.5541498
9	11.24163534
10	10.92731616
11	10.62923857
12	10.3848077
13	10.11160013
14	9.918349346
15	9.687161261
16	9.496911541
17	9.303982307
18	9.10134205
19	8.924887365
20	8.729456183
21	8.556826151
22	8.402425219
23	8.274527451
24	8.146731028
25	8.017673
26	7.909390016
27	7.774408597
28	7.665305872
29	7.562011675
30	7.445859812
31	7.366936075
32	7.274605438
33	7.196550144
34	7.115313197
35	7.039865437
36	6.950031316
37	6.890360812
38	6.805922443
39	6.725924497
40	6.659488332
41	6.59307445
42	6.523339136
43	6.465453904
44	6.409580727
45	6.361163277
46	6.312552585
47	6.268861812
48	6.226894936
49	6.190327939
50	6.156361926
51	6.121865925
52	6.100663898
53	6.066253117
54	6.034548771
55	6.010378737
56	5.983044105
57	5.959071991
58	5.929075002
59	5.898443705
60	5.871118892
61	5.842656691
62	5.824667025
63	5.802502174
64	5.78313653
65	5.767402566
66	5.754540264
67	5.739515051
68	5.718893918
69	5.70173359
70	5.683179131
71	5.667207126
72	5.650907785
73	5.639346925
74	5.629282302
75	5.607731858
76	5.594228069
77	5.581357471
78	5.570012098
79	5.55826208
80	5.54442418
81	5.528387879
82	5.520442497
83	5.512307662
84	5.50250652
85	5.49578199
86	5.485367054
87	5.475838653
88	5.463500481
89	5.456548811
90	5.447878004
91	5.44078088
92	5.434541664
93	5.425217616
94	5.419745817
95	5.412068084
96	5.405386399
97	5.398592787
98	5.394603775
99	5.389441177
100	5.381134199
101	5.377644827
102	5.370293207
103	5.363459159
104	5.358868617
105	5.355231642
106	5.350890885
107	5.346610104
108	5.343154851
109	5.337130714
110	5.330218168
111	5.326340282
112	5.323409988
113	5.318394335
114	5.310272777
115	5.304985304
116	5.300399866
117	5.297534212
118	5.293052079
119	5.287361844
120	5.284811906
121	5.281549446
122	5.272525038
123	5.26410749
124	5.260261114
125	5.258211852
126	5.25345028
127	5.249854895
128	5.245422563
129	5.242843068
130	5.236078235
131	5.23183423
132	5.229643012
133	5.225413421
134	5.221159416
135	5.215596773
136	5.210331453
137	5.208565969
138	5.206660788
139	5.20372552
140	5.201102457
141	5.193595024
142	5.191995163
143	5.188473656
144	5.186361015
145	5.184315353
146	5.178189009
147	5.174519019
148	5.170121742
149	5.1680711
150	5.165613609
151	5.162618932
152	5.157560071
153	5.155499187
154	5.154139118
155	5.152012524
156	5.146228687
157	5.145596685
158	5.143350809
159	5.139796845
160	5.134872346
161	5.131222647
162	5.126845622
163	5.121558229
164	5.119698346
165	5.117126019
166	5.114496065
167	5.108819776
168	5.105259544
169	5.101549086
170	5.099344977
171	5.09770893
172	5.093558056
173	5.091828754
174	5.088298831
175	5.083824945
176	5.082520126
177	5.080235002
178	5.077185521
179	5.074775535
180	5.071028136
181	5.06650485
182	5.06382267
183	5.060899896
184	5.058865137
185	5.05799292
186	5.056359096
187	5.055041564
188	5.051190371
189	5.048955831
190	5.046463105
191	5.042170897
192	5.04055326
193	5.038203281
194	5.03620492
195	5.032652163
196	5.027161756
197	5.024211645
198	5.020635717
199	5.018182822
