iter	Passed	Remaining
0	0	128
1	1	113
2	1	108
3	2	106
4	2	111
5	3	112
6	4	114
7	4	113
8	5	111
9	5	111
10	6	108
11	6	106
12	7	104
13	7	102
14	8	100
15	8	98
16	9	98
17	9	96
18	10	95
19	10	94
20	10	93
21	11	92
22	11	92
23	12	91
24	12	90
25	13	89
26	13	88
27	14	87
28	14	86
29	15	85
30	15	85
31	16	84
32	16	83
33	17	83
34	17	82
35	18	82
36	18	82
37	19	81
38	19	80
39	20	80
40	20	79
41	20	78
42	21	78
43	21	77
44	22	76
45	22	76
46	23	75
47	23	75
48	24	74
49	24	74
50	25	73
51	25	73
52	26	72
53	26	71
54	26	71
55	27	70
56	27	69
57	28	69
58	28	68
59	29	68
60	29	68
61	30	67
62	31	67
63	31	67
64	32	67
65	33	67
66	33	66
67	34	66
68	34	65
69	35	65
70	35	65
71	36	64
72	36	63
73	37	63
74	37	62
75	38	62
76	38	61
77	38	60
78	39	60
79	39	59
80	40	59
81	40	58
82	41	57
83	41	57
84	42	56
85	42	56
86	42	55
87	43	55
88	44	55
89	44	54
90	45	54
91	45	53
92	46	53
93	47	53
94	47	52
95	48	52
96	48	51
97	49	51
98	49	50
99	50	50
100	50	49
101	51	49
102	51	48
103	52	48
104	52	47
105	53	47
106	53	46
107	53	45
108	54	45
109	54	44
110	55	44
111	55	43
112	56	43
113	56	42
114	57	42
115	57	41
116	58	41
117	58	40
118	59	40
119	59	39
120	60	39
121	61	39
122	61	38
123	62	38
124	62	37
125	63	37
126	63	36
127	64	36
128	64	35
129	65	35
130	65	34
131	66	34
132	66	33
133	67	33
134	67	32
135	68	32
136	68	31
137	69	31
138	69	30
139	70	30
140	71	30
141	72	29
142	73	29
143	73	28
144	74	28
145	74	27
146	75	27
147	76	26
148	76	26
149	77	25
150	77	25
151	78	24
152	78	24
153	79	23
154	79	23
155	80	22
156	80	22
157	81	21
158	81	21
159	82	20
160	82	20
161	83	19
162	83	18
163	83	18
164	84	17
165	85	17
166	85	16
167	86	16
168	86	15
169	87	15
170	87	14
171	88	14
172	88	13
173	89	13
174	89	12
175	90	12
176	90	11
177	91	11
178	92	10
179	92	10
180	92	9
181	93	9
182	93	8
183	94	8
184	94	7
185	95	7
186	95	6
187	95	6
188	96	5
189	96	5
190	97	4
191	97	4
192	98	3
193	98	3
194	99	2
195	99	2
196	100	1
197	100	1
198	101	0
199	101	0
