iter	Passed	Remaining
0	0	828
1	1	727
2	2	690
3	2	662
4	3	636
5	3	625
6	4	612
7	4	604
8	5	598
9	6	594
10	6	592
11	7	594
12	8	614
13	8	616
14	9	611
15	9	605
16	10	599
17	10	593
18	11	591
19	12	589
20	12	585
21	13	584
22	13	583
23	14	582
24	14	581
25	15	579
26	16	578
27	16	577
28	17	577
29	17	576
30	18	573
31	18	571
32	19	571
33	20	570
34	20	571
35	21	575
36	22	577
37	22	578
38	23	578
39	24	578
40	24	584
41	25	587
42	26	586
43	26	585
44	27	588
45	28	588
46	29	588
47	29	587
48	30	586
49	30	585
50	31	583
51	31	581
52	32	580
53	33	579
54	33	577
55	34	576
56	34	574
57	35	574
58	35	573
59	36	571
60	37	571
61	37	570
62	38	569
63	38	568
64	39	567
65	40	566
66	40	565
67	41	564
68	41	562
69	42	561
70	42	560
71	43	559
72	44	559
73	44	558
74	45	557
75	45	556
76	46	555
77	46	553
78	47	552
79	47	551
80	48	550
81	49	549
82	49	545
83	49	544
84	50	543
85	51	543
86	51	544
87	52	546
88	53	547
89	54	547
90	54	546
91	55	546
92	56	546
93	56	545
94	57	545
95	57	545
96	58	545
97	59	545
98	59	544
99	60	543
100	61	543
101	61	544
102	62	543
103	63	543
104	63	542
105	64	542
106	65	544
107	66	549
108	67	553
109	68	554
110	69	553
111	69	552
112	70	552
113	70	551
114	71	551
115	72	550
116	72	549
117	73	547
118	73	546
119	74	545
120	75	544
121	75	542
122	76	542
123	76	541
124	77	540
125	77	539
126	78	538
127	78	537
128	79	536
129	80	535
130	80	534
131	81	533
132	81	532
133	82	531
134	82	531
135	83	530
136	84	529
137	84	529
138	85	529
139	86	528
140	86	527
141	86	525
142	87	524
143	88	524
144	88	523
145	89	523
146	90	522
147	90	521
148	91	520
149	91	520
150	92	519
151	93	519
152	93	518
153	94	517
154	94	517
155	95	516
156	96	515
157	96	514
158	97	513
159	97	513
160	98	511
161	98	511
162	99	510
163	100	509
164	100	509
165	101	508
166	101	507
167	102	506
168	102	505
169	103	504
170	103	503
171	104	502
172	104	501
173	105	501
174	106	500
175	106	499
176	107	499
177	107	498
178	108	497
179	108	496
180	109	495
181	109	494
182	110	493
183	111	493
184	112	495
185	113	496
186	114	496
187	114	495
188	115	495
189	116	494
190	116	494
191	117	494
192	118	493
193	118	492
194	119	491
195	119	490
196	120	489
197	120	488
198	121	487
199	121	486
200	122	485
201	122	484
202	123	483
203	123	482
204	124	481
205	124	480
206	125	479
207	125	478
208	126	477
209	126	477
210	127	476
211	128	476
212	128	475
213	129	475
214	130	474
215	130	474
216	131	473
217	131	472
218	132	473
219	133	473
220	134	472
221	134	471
222	135	470
223	135	470
224	136	469
225	136	469
226	137	468
227	137	467
228	138	466
229	138	465
230	139	464
231	139	463
232	140	462
233	140	461
234	141	460
235	142	459
236	142	459
237	143	459
238	144	458
239	144	457
240	145	457
241	145	456
242	146	455
243	146	454
244	147	453
245	147	452
246	148	451
247	148	450
248	149	449
249	149	448
250	150	448
251	150	447
252	151	446
253	151	445
254	152	444
255	152	443
256	153	442
257	153	441
258	154	440
259	154	439
260	155	438
261	155	438
262	156	437
263	156	437
264	157	437
265	158	437
266	159	437
267	159	436
268	160	437
269	161	437
270	162	436
271	163	437
272	164	436
273	164	436
274	165	435
275	165	434
276	166	433
277	166	432
278	167	432
279	167	431
280	168	430
281	168	429
282	169	428
283	170	428
284	170	428
285	171	429
286	172	428
287	173	427
288	173	427
289	174	426
290	174	425
291	175	424
292	175	424
293	176	423
294	176	422
295	177	421
296	177	420
297	178	420
298	178	419
299	179	418
300	179	417
301	180	417
302	180	416
303	181	415
304	182	415
305	182	414
306	183	413
307	184	413
308	185	414
309	186	414
310	186	413
311	187	413
312	188	414
313	189	414
314	190	414
315	191	414
316	192	414
317	192	413
318	193	412
319	193	412
320	194	411
321	195	410
322	195	409
323	196	409
324	196	408
325	197	407
326	198	408
327	199	407
328	199	407
329	200	406
330	200	406
331	201	405
332	202	406
333	203	406
334	204	406
335	205	405
336	206	405
337	206	405
338	207	404
339	208	404
340	209	403
341	209	403
342	210	402
343	210	402
344	211	401
345	211	400
346	212	399
347	213	399
348	213	398
349	214	397
350	214	397
351	215	396
352	216	395
353	216	395
354	217	394
355	218	394
356	219	395
357	220	394
358	220	394
359	221	393
360	221	392
361	222	392
362	222	391
363	223	390
364	223	389
365	224	388
366	224	388
367	225	387
368	225	386
369	226	385
370	226	384
371	227	383
372	227	383
373	228	382
374	228	381
375	229	380
376	229	379
377	230	379
378	231	378
379	231	377
380	232	377
381	232	376
382	233	376
383	234	375
384	234	374
385	236	375
386	236	375
387	237	374
388	237	373
389	238	372
390	239	372
391	239	371
392	240	370
393	240	369
394	241	369
395	241	368
396	241	367
397	242	366
398	242	365
399	243	365
400	243	364
401	244	363
402	244	362
403	245	362
404	246	361
405	246	360
406	247	360
407	247	359
408	248	358
409	248	357
410	249	357
411	249	356
412	250	355
413	250	354
414	251	354
415	251	353
416	252	352
417	252	351
418	253	350
419	253	350
420	254	349
421	254	348
422	255	347
423	255	347
424	255	346
425	256	345
426	256	344
427	257	344
428	257	343
429	258	342
430	258	341
431	259	341
432	259	340
433	260	339
434	261	339
435	261	338
436	262	337
437	262	337
438	263	336
439	263	335
440	264	335
441	265	334
442	265	333
443	266	333
444	266	332
445	267	331
446	267	331
447	268	330
448	268	329
449	269	328
450	269	328
451	270	327
452	270	326
453	271	326
454	271	325
455	272	324
456	272	324
457	273	323
458	273	322
459	274	321
460	274	321
461	275	320
462	275	319
463	276	319
464	276	318
465	277	317
466	294	335
467	294	335
468	295	334
469	295	333
470	296	332
471	296	332
472	297	331
473	298	330
474	298	330
475	299	329
476	299	328
477	300	328
478	301	327
479	302	327
480	303	327
481	303	326
482	304	325
483	304	324
484	305	324
485	305	323
486	306	322
487	306	321
488	307	320
489	307	320
490	308	319
491	308	318
492	309	318
493	310	317
494	310	317
495	311	316
496	312	315
497	312	315
498	313	314
499	313	313
500	314	312
501	314	312
502	315	311
503	315	310
504	316	309
505	316	309
506	317	308
507	317	307
508	318	306
509	318	306
510	319	305
511	319	304
512	320	304
513	320	303
514	321	302
515	322	302
516	322	301
517	323	300
518	323	300
519	324	299
520	325	299
521	326	298
522	326	297
523	327	297
524	327	296
525	328	295
526	328	295
527	329	294
528	329	293
529	330	292
530	330	292
531	331	291
532	331	290
533	332	290
534	332	289
535	333	288
536	333	287
537	334	287
538	334	286
539	335	285
540	335	284
541	336	284
542	337	283
543	337	283
544	338	282
545	339	282
546	339	281
547	340	280
548	341	280
549	341	279
550	342	278
551	342	278
552	343	277
553	343	276
554	344	276
555	344	275
556	345	274
557	345	273
558	346	273
559	346	272
560	347	271
561	347	271
562	348	270
563	348	269
564	349	268
565	349	268
566	350	267
567	351	266
568	351	266
569	352	265
570	352	265
571	353	264
572	354	264
573	355	263
574	355	262
575	356	262
576	356	261
577	357	260
578	357	260
579	358	259
580	358	258
581	359	258
582	359	257
583	360	256
584	360	256
585	361	255
586	361	254
587	362	253
588	362	253
589	363	252
590	363	251
591	364	251
592	364	250
593	365	249
594	365	249
595	366	248
596	366	247
597	367	246
598	368	246
599	368	245
600	369	245
601	369	244
602	370	243
603	370	243
604	371	242
605	371	241
606	372	241
607	372	240
608	373	239
609	373	238
610	374	238
611	374	237
612	375	236
613	375	236
614	376	235
615	376	234
616	377	234
617	377	233
618	378	232
619	378	232
620	379	231
621	379	230
622	380	229
623	380	229
624	381	228
625	381	227
626	382	227
627	382	226
628	383	225
629	383	225
630	384	224
631	384	224
632	385	223
633	385	222
634	386	222
635	386	221
636	387	220
637	387	219
638	388	219
639	388	218
640	389	217
641	389	217
642	390	216
643	390	215
644	391	215
645	391	214
646	392	213
647	392	213
648	393	212
649	393	211
650	394	211
651	394	210
652	395	209
653	395	209
654	396	208
655	396	207
656	397	207
657	397	206
658	398	206
659	398	205
660	399	204
661	399	204
662	400	203
663	400	202
664	401	202
665	401	201
666	402	200
667	402	200
668	403	199
669	403	198
670	404	198
671	404	197
672	405	196
673	405	196
674	406	195
675	406	194
676	407	194
677	407	193
678	408	192
679	408	192
680	409	191
681	409	191
682	410	190
683	410	189
684	411	189
685	411	188
686	412	187
687	412	187
688	413	186
689	413	185
690	414	185
691	414	184
692	415	184
693	415	183
694	416	182
695	417	182
696	417	181
697	418	181
698	418	180
699	419	179
700	419	179
701	420	178
702	420	177
703	421	177
704	421	176
705	422	175
706	422	175
707	423	174
708	423	173
709	424	173
710	424	172
711	425	172
712	426	171
713	426	170
714	427	170
715	427	169
716	428	169
717	429	168
718	429	167
719	430	167
720	430	166
721	431	166
722	431	165
723	432	164
724	432	164
725	433	163
726	433	162
727	434	162
728	434	161
729	435	161
730	435	160
731	436	159
732	436	159
733	437	158
734	437	157
735	438	157
736	438	156
737	439	155
738	439	155
739	440	154
740	440	154
741	441	153
742	441	152
743	442	152
744	442	151
745	443	150
746	443	150
747	444	149
748	444	149
749	445	148
750	446	147
751	446	147
752	447	146
753	447	146
754	448	145
755	448	144
756	449	144
757	449	143
758	450	142
759	450	142
760	451	141
761	451	141
762	452	140
763	452	139
764	453	139
765	453	138
766	454	137
767	454	137
768	455	136
769	455	136
770	456	135
771	456	134
772	457	134
773	457	133
774	458	133
775	458	132
776	459	131
777	460	131
778	460	130
779	461	130
780	461	129
781	462	128
782	462	128
783	463	127
784	463	127
785	464	126
786	464	125
787	465	125
788	465	124
789	466	123
790	466	123
791	467	122
792	467	122
793	468	121
794	468	120
795	469	120
796	469	119
797	470	119
798	470	118
799	471	117
800	471	117
801	472	116
802	472	115
803	473	115
804	473	114
805	474	114
806	475	113
807	476	113
808	476	112
809	477	111
810	477	111
811	478	110
812	478	110
813	479	109
814	479	108
815	480	108
816	480	107
817	480	107
818	481	106
819	481	105
820	482	105
821	482	104
822	483	103
823	483	103
824	484	102
825	484	102
826	485	101
827	486	100
828	486	100
829	487	99
830	487	99
831	488	98
832	489	98
833	489	97
834	490	96
835	490	96
836	491	95
837	492	95
838	492	94
839	493	93
840	493	93
841	494	92
842	494	92
843	495	91
844	495	90
845	496	90
846	496	89
847	497	89
848	498	88
849	498	88
850	499	87
851	499	86
852	500	86
853	500	85
854	501	85
855	502	84
856	502	83
857	503	83
858	503	82
859	504	82
860	505	81
861	505	80
862	506	80
863	507	79
864	507	79
865	508	78
866	509	78
867	509	77
868	510	76
869	511	76
870	511	75
871	512	75
872	512	74
873	513	73
874	513	73
875	514	72
876	514	72
877	515	71
878	515	70
879	516	70
880	516	69
881	517	69
882	517	68
883	518	68
884	518	67
885	519	66
886	519	66
887	520	65
888	521	65
889	522	64
890	522	63
891	523	63
892	523	62
893	524	62
894	524	61
895	525	60
896	525	60
897	526	59
898	526	59
899	527	58
900	527	57
901	528	57
902	528	56
903	529	56
904	529	55
905	530	55
906	530	54
907	531	53
908	531	53
909	532	52
910	532	52
911	533	51
912	533	50
